best_fit,worst_fit,std_fit,mean_fit,n_unique_inds,better_than_parents,worst_than_parents
11.970207996697916,350.7501710289803,62.98921171355464,25.857950101289493,11,4,52
11.970207996697916,350.7501710289803,46.779562492560714,20.094684891623277,11,1,61
11.970207996697916,350.7501710289803,33.72789173370256,16.70459980466841,7,3,55
11.970207996697916,340.81390782169564,33.93885279979634,17.670086189933016,12,3,51
11.970207996697916,350.7501710289803,65.28800173314588,26.418636961359777,13,0,68
11.970207996697916,350.7501710289803,64.62098668154226,26.372808575632984,8,0,62
11.970207996697916,350.7501710289803,78.94129101575506,33.06894982074534,9,1,63
11.970207996697916,350.7501710289803,72.11175977793172,30.233913162707527,9,1,63
11.970207996697916,350.7501710289803,45.05030930570739,19.607466651444618,9,4,58
11.970207996697916,350.7501710289803,69.28884137105511,28.97398971374364,8,4,54
11.970207996697916,340.81390782169564,44.46006815325576,19.34164048104999,11,5,59
11.970207996697916,350.7501710289803,55.97013445129095,23.6677084093946,14,7,55
11.970207996697916,350.7501710289803,45.00515304233891,19.990987785090013,14,7,51
11.970207996697916,350.7501710289803,33.734539113970314,16.758738663056317,13,2,62
11.970207996697916,350.7501710289803,66.2884835575741,26.46010675695754,8,2,56
11.970207996697916,350.7501710289803,33.721319964634034,15.740732771597687,8,2,60
11.970207996697916,22.828803129620663,2.790269694112079,12.842419388758987,6,1,59
11.970207996697916,350.7501710289803,84.54507459522087,37.52928077164867,12,3,61
11.970207996697916,350.7501710289803,64.59045335160931,26.55072261189666,10,2,58
11.970207996697916,350.7501710289803,74.46505445421639,32.463810312393754,13,2,60
11.970207996697916,350.7501710289803,57.08699139114962,23.384856029234033,13,5,61
11.970207996697916,631.9115510390567,82.3882828929361,28.863121868986372,10,0,66
11.970207996697916,350.7501710289803,70.77746038985214,29.242197049239454,11,3,61
11.970207996697916,350.7501710289803,55.22371554306074,22.901192931898112,16,3,55
11.970207996697916,350.7501710289803,55.27822220472571,22.577544910873133,11,0,64
11.970207996697916,350.7501710289803,57.68885858403034,23.11021970727099,9,0,68
11.970207996697916,350.7501710289803,69.28514003900406,28.981204034270064,9,2,56
11.970207996697916,350.7501710289803,77.24120770458772,32.54742214690269,16,5,63
6.820018093081123,340.81390782169564,60.7286651439475,25.789454965900294,11,2,64
6.820018093081123,350.7501710289803,73.17657248211488,30.18304253129639,15,3,59
6.820018093081123,350.7501710289803,63.04052103585789,25.580119386964107,12,7,59
6.820018093081123,350.7501710289803,73.60550769561759,30.289777489183518,9,1,61
6.820018093081123,316.55515857811616,42.62574398419119,18.741903263242335,11,3,63
6.820018093081123,350.7501710289803,72.25105779304883,29.601502000203094,13,6,54
6.820018093081123,350.7501710289803,47.485301312236075,19.30562605991957,11,12,54
6.820018093081123,350.7501710289803,45.26947864944342,17.751265141565227,9,10,54
6.820018093081123,350.7501710289803,54.39133921907662,20.769654612914202,17,17,47
6.820018093081123,350.7501710289803,56.51916124644902,19.089298823847415,11,5,59
6.820018093081123,415.936362905434,69.81798441713288,22.429234054425265,12,5,57
6.820018093081123,350.7501710289803,58.18177241506303,19.927027275292044,18,5,61
6.820018093081123,415.936362905434,80.6062049554537,27.549307678791234,17,7,59
6.820018093081123,350.7501710289803,48.13140855609255,15.444202337497153,10,4,56
6.820018093081123,415.936362905434,95.19502025065484,37.20603771139752,12,5,49
6.820018093081123,415.936362905434,41.65955176928565,13.738456769601703,7,3,57
5.478663432212766,415.936362905434,52.92320799714236,15.287040100791973,12,1,63
5.478663432212766,455.0837988449937,91.47224088788663,34.75921087824103,15,0,62
5.478663432212766,415.936362905434,105.86885799681876,44.894750873457006,15,11,57
5.478663432212766,350.7501710289803,65.14747656044032,23.822480462272036,15,3,53
5.478663432212766,350.7501710289803,34.32129676861241,11.578418274150227,10,5,63
5.478663432212766,415.936362905434,74.03562579811259,22.261345517403296,8,6,56
5.478663432212766,350.7501710289803,48.177926035375606,14.201065212415735,6,1,65
5.478663432212766,547.5821816224585,97.21447531183156,32.55894240548939,16,10,50
5.478663432212766,415.936362905434,42.53172129046449,12.520557266671753,11,13,45
4.925674064794779,547.5821816224585,63.50165031964284,16.71586450862138,13,18,44
4.7188481968755545,415.936362905434,66.30562935009912,19.18418990013046,19,19,43
4.7188481968755545,640.7654214467652,71.58929103277933,16.177745629948387,14,14,54
4.7188481968755545,547.5821816224585,63.604166157615374,15.99147662902265,20,13,45
4.7188481968755545,547.5821816224585,108.53600917788468,36.02841562846286,18,13,57
4.52840886887229,341.2030187720424,33.60727341180289,10.458823611847766,19,21,47
4.1190516693624435,350.7501710289803,55.920050026818735,16.776242188168464,19,23,43
